"di_id","Year","Poorpop","Poorpop.Interp","P20population"
"BO",1993,856874.7695625,856874.7695625,456009.98225575
"BO",1994,,1031826.5873669,
"BO",1995,,1206778.4051713,
"BO",1996,1381730.2229757,1381730.2229757,1090868.285493
"BO",1997,,1611187.6743334,
"BO",1998,,1840645.1256911,
"BO",1999,2070102.5770488,2070102.5770488,1827661.0945568
"BO",2000,,2093760.51313987,
"BO",2001,,2117418.44923093,
"BO",2002,2141076.385322,2141076.385322,1856833.039431
"BO",2003,,2015178.92261803,
"BO",2004,,1889281.45991407,
"BO",2005,1763383.9972101,1763383.9972101,1725571.9524777
"BO",2006,,1529220.1500939,
"BO",2007,,1295056.3029777,
"BO",2008,1060892.4558615,1060892.4558615,1111890.7255635
"BO",2009,,971635.32033753,
"BO",2010,882378.18481356,882378.18481356,991683.26178118
"BO",2011,734642.16805045,734642.16805045,900529.1742447
"BO",2012,839356.1755554,839356.1755554,1045293.7749576
"BO",2013,713215.2642356,713215.2642356,966471.88489432
"BO",2014,,697330.598367875,
"BO",2015,681445.93250015,681445.93250015,996476.20559345
"BO",2016,,681445.93250015,
"BO",2017,,681445.93250015,
"BW",1981,561945.8777799,561945.8777799,308099.9701981
"BW",1982,,547958.9389606,
"BW",1983,,533972.0001413,
"BW",1984,519985.061322,519985.061322,318272.370816
"BW",1985,,516931.4827144,
"BW",1986,,513877.9041068,
"BW",1987,510824.3254992,510824.3254992,339726.4819188
"BW",1988,,495050.7810176,
"BW",1989,,479277.236536,
"BW",1990,463503.6920544,463503.6920544,287060.6825424
"BW",1991,,481828.6811803,
"BW",1992,,500153.6703062,
"BW",1993,518478.6594321,518478.6594321,342592.1553501
"BW",1994,,520770.129380067,
"BW",1995,,523061.599328033,
"BW",1996,525353.069276,525353.069276,398597.039956
"BW",1997,,514891.0389336,
"BW",1998,,504429.0085912,
"BW",1999,493966.9782488,493966.9782488,383948.8498572
"BW",2000,,508273.963956267,
"BW",2001,,522580.949663733,
"BW",2002,536887.9353712,536887.9353712,461257.1984153
"BW",2003,,514453.6629304,
"BW",2004,,492019.3904896,
"BW",2005,469585.1180488,469585.1180488,458726.3424116
"BW",2006,,423922.650041767,
"BW",2007,,378260.182034733,
"BW",2008,332597.7140277,332597.7140277,362680.3204486
"BW",2009,,337985.89110375,
"BW",2010,343374.0681798,343374.0681798,413255.061198
"BW",2011,319770.3132743,319770.3132743,432124.4067772
"BW",2012,308961.216392,308961.216392,447815.41984
"BW",2013,262157.564655,262157.564655,440673.5310887
"BW",2014,,272249.5635033,
"BW",2015,282341.5623516,282341.5623516,494390.6736375
"BW",2016,,282341.5623516,
"BW",2017,,282341.5623516,
"BR",1981,26534812.7678868,26534812.7678868,10313589.224669
"BR",1982,,29596288.7168109,
"BR",1983,,32657764.6657351,
"BR",1984,35719240.6146592,35719240.6146592,17972819.6103712
"BR",1985,,32177361.8812923,
"BR",1986,,28635483.1479253,
"BR",1987,25093604.4145584,25093604.4145584,14680024.8124048
"BR",1988,,27500037.6460059,
"BR",1989,,29906470.8774535,
"BR",1990,32312904.108901,32312904.108901,19545311.9653585
"BR",1991,,31978112.6578733,
